epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.173,3.85402,8.01976,1.76954,0,0,0,0,2.62663,5.67584,1.15261,0.000323529,0.000323529,0.000323529
2,549.68,2.96343,5.19747,1.21586,0.00151,0.11369,0.02729,0.01468,2.48508,4.98666,1.17117,0.000643857,0.000643857,0.000643857
3,849.131,2.7968,4.28987,1.16085,0.4303,0.12149,0.17688,0.0811,2.37243,3.89177,1.14073,0.000950984,0.000950984,0.000950984
4,1086.26,2.56684,3.6183,1.11087,0.25748,0.28669,0.23812,0.10618,2.31129,3.43313,1.07802,0.0009406,0.0009406,0.0009406
5,1321.12,2.45509,3.21678,1.07253,0.44508,0.36142,0.33977,0.15144,2.21093,2.7552,1.06753,0.0009208,0.0009208,0.0009208
6,1550.07,2.41436,3.05542,1.05653,0.48888,0.39275,0.39134,0.17697,2.07405,2.50767,1.02482,0.000901,0.000901,0.000901
7,1769.22,2.27049,2.69512,1.00958,0.5398,0.48227,0.44719,0.1933,2.00123,2.2667,1.00502,0.0008812,0.0008812,0.0008812
8,1999.71,2.22985,2.452,1.03035,0.61049,0.47125,0.49966,0.20642,2.06237,2.14021,1.01531,0.0008614,0.0008614,0.0008614
9,2248.58,2.20506,2.32014,1.00903,0.68414,0.47385,0.51007,0.21622,2.04944,2.1326,1.00762,0.0008416,0.0008416,0.0008416
10,2484.06,2.15527,2.18911,1.00258,0.67887,0.56357,0.6062,0.28254,1.89756,1.84313,0.99238,0.0008218,0.0008218,0.0008218
11,2715.39,2.07684,2.00973,0.99534,0.77973,0.5614,0.63429,0.29483,1.87408,1.78054,0.98929,0.000802,0.000802,0.000802
12,3091.21,2.0813,1.97042,1.00126,0.6377,0.55443,0.58753,0.25213,1.9731,1.74836,1.00849,0.0007822,0.0007822,0.0007822
13,3540.3,2.04388,1.87381,0.98906,0.67798,0.6281,0.65786,0.2836,1.858,1.69856,0.98218,0.0007624,0.0007624,0.0007624
14,3813.92,2.05735,1.83353,0.97661,0.75631,0.63201,0.68291,0.29371,1.93364,1.57885,0.98471,0.0007426,0.0007426,0.0007426
15,4218.88,1.99377,1.6893,0.97069,0.75205,0.62326,0.7013,0.31401,1.8779,1.51187,0.98593,0.0007228,0.0007228,0.0007228
16,4652.18,2.00345,1.67482,0.97675,0.76553,0.62224,0.67635,0.28229,1.99584,1.50339,0.99924,0.000703,0.000703,0.000703
17,4987.48,1.96678,1.58647,0.97004,0.8404,0.63634,0.73674,0.34528,1.84001,1.43822,0.97718,0.0006832,0.0006832,0.0006832
18,5242.82,1.95568,1.54788,0.96556,0.80466,0.70255,0.7783,0.35464,1.80677,1.40032,0.9684,0.0006634,0.0006634,0.0006634
19,5494.29,1.91575,1.49436,0.94577,0.87474,0.70921,0.78818,0.38836,1.71865,1.27024,0.95453,0.0006436,0.0006436,0.0006436
20,5748.61,1.92136,1.46518,0.9544,0.87033,0.67939,0.78921,0.37827,1.74304,1.27015,0.95826,0.0006238,0.0006238,0.0006238
21,6005.75,1.89573,1.42626,0.95072,0.85653,0.7096,0.79669,0.38295,1.71376,1.23552,0.94479,0.000604,0.000604,0.000604
22,6427.52,1.88798,1.43569,0.94915,0.85644,0.70521,0.79772,0.37868,1.72869,1.22313,0.9503,0.0005842,0.0005842,0.0005842
